iter	Passed	Remaining
0	142	142643
1	143	71688
2	144	48021
3	145	36204
4	146	29108
5	147	24404
6	148	20997
7	148	18430
8	149	16435
9	149	14840
10	150	13534
11	151	12449
12	151	11529
13	152	10742
14	153	10057
15	153	9457
16	154	8937
17	155	8467
18	155	8045
19	156	7670
20	157	7327
21	157	7014
22	158	6728
23	159	6472
24	159	6239
25	160	6023
26	161	5822
27	162	5635
28	163	5463
29	164	5304
30	164	5154
31	165	5008
32	166	4871
33	166	4743
34	167	4622
35	168	4509
36	169	4403
37	169	4300
38	170	4205
39	171	4112
40	172	4025
41	172	3943
42	173	3867
43	174	3794
44	175	3722
45	176	3653
46	176	3587
47	177	3523
48	178	3461
49	178	3400
50	179	3342
51	180	3286
52	180	3232
53	181	3180
54	182	3130
55	182	3081
56	183	3035
57	184	2990
58	184	2946
59	185	2904
60	186	2863
61	186	2823
62	187	2785
63	188	2751
64	188	2716
65	189	2686
66	190	2654
67	191	2623
68	192	2593
69	192	2563
70	193	2535
71	194	2508
72	195	2481
73	196	2456
74	197	2430
75	197	2406
76	198	2381
77	199	2357
78	200	2335
79	201	2311
80	201	2289
81	202	2268
82	203	2244
83	203	2223
84	204	2205
85	205	2186
86	206	2167
87	207	2149
88	208	2130
89	208	2113
90	209	2095
91	210	2078
92	211	2062
93	212	2046
94	213	2029
95	213	2014
96	214	1998
97	215	1982
98	216	1967
99	216	1952
100	217	1937
101	218	1922
102	219	1909
103	220	1896
104	221	1884
105	221	1871
106	222	1858
107	223	1846
108	224	1834
109	225	1822
110	226	1810
111	226	1798
112	227	1786
113	228	1775
114	229	1763
115	230	1752
116	230	1740
117	231	1729
118	232	1719
119	233	1709
120	234	1700
121	234	1689
122	235	1679
123	236	1668
124	236	1657
125	237	1647
126	238	1636
127	238	1627
128	239	1617
129	240	1608
130	241	1598
131	241	1589
132	242	1579
133	243	1570
134	243	1561
135	244	1552
136	245	1544
137	245	1535
138	246	1527
139	247	1518
140	247	1510
141	248	1500
142	249	1492
143	249	1484
144	250	1476
145	251	1468
146	251	1460
147	252	1452
148	253	1445
149	253	1438
150	254	1430
151	255	1423
152	255	1416
153	256	1409
154	257	1402
155	257	1395
